"SSN","Country","Site","Cluster","Plot","Longitude","Latitude","F14C","F14C_err","Delta14C","Delta14C_err","Delta13C","Zones","TurnoverTime"
"icr068419","Nigeria","Pampaida",1,3,8.123596667,11.28078,1.031,0.0029,22.3,2.9,-17.56,"NHZone3",291
"icr068420","Nigeria","Pampaida",1,3,8.123596667,11.28078,0.9424,0.0029,-65.6,2.9,-17.05,"NHZone3",6474
"icr068499","Nigeria","Pampaida",5,1,8.145926667,11.29146167,1.0461,0.002,37.3,2,-18.67,"NHZone3",196
"icr068500","Nigeria","Pampaida",5,1,8.145926667,11.29146167,0.8839,0.0032,-123.6,3.2,-18.14,"NHZone3",6474
"icr068500","Nigeria","Pampaida",5,1,8.145926667,11.29146167,0.8839,0.0032,-123.6,3.2,-18.14,"NHZone3",6474
"icr068521","Nigeria","Pampaida",6,2,8.148253333,11.31266,0.9984,0.0032,-10,3.2,-19.04,"NHZone3",987
"icr068522","Nigeria","Pampaida",6,2,8.148253333,11.31266,0.8612,0.0031,-146.1,3.1,-19.47,"NHZone3",6474
"icr068539","Nigeria","Pampaida",7,1,8.150375,11.33524167,1.0304,0.0021,21.7,2.1,-18.77,"NHZone3",296
"icr068540","Nigeria","Pampaida",7,1,8.150375,11.33524167,0.9476,0.0019,-60.4,1.9,-16.67,"NHZone3",6474
"icr068579","Nigeria","Pampaida",9,1,8.166768333,11.28065833,0.9561,0.003,-51.9,3,-18.11,"NHZone3",6053
"icr068580","Nigeria","Pampaida",9,1,8.166768333,11.28065833,0.8814,0.003,-126.1,2.9,-17.36,"NHZone3",6474
"icr068677","Nigeria","Pampaida",14,1,8.19152,11.30931667,1.0528,0.0029,43.9,2.9,-20.45,"NHZone3",168
"icr068678","Nigeria","Pampaida",14,1,8.19152,11.30931667,0.9139,0.0033,-93.8,3.3,-19.59,"NHZone3",6474
"icr068717","Nigeria","Pampaida",16,1,8.194856667,11.34667,1.061,0.0021,52.1,2.1,-17.84,"NHZone3",140
"icr068718","Nigeria","Pampaida",16,1,8.194856667,11.34667,0.8981,0.0032,-109.5,3.2,-17,"NHZone3",6474
"icr070124","Nigeria","Kutigi",2,2,5.671851667,9.191568333,1.0512,0.002,42.3,2,-19.87,"NHZone3",174
"icr070125","Nigeria","Kutigi",2,2,5.671851667,9.191568333,0.9319,0.0026,-75.9,2.6,-17.66,"NHZone3",6474
"icr070262","Nigeria","Kutigi",9,4,5.711345,9.17576,1.0206,0.0033,12,3.3,-20.84,"NHZone3",402
"icr070263","Nigeria","Kutigi",9,4,5.711345,9.17576,0.8682,0.0052,-139.1,5.2,NA,"NHZone3",6474
"icr070370","Nigeria","Kutigi",15,3,5.73423,9.217246667,1.0251,0.0025,16.4,2.5,-18.33,"NHZone3",348
"icr070370","Nigeria","Kutigi",15,3,5.73423,9.217246667,1.0251,0.0025,16.4,2.5,-18.33,"NHZone3",348
"icr070371","Nigeria","Kutigi",15,3,5.73423,9.217246667,0.9317,0.0054,-76.2,5.4,NA,"NHZone3",6474
"icr072246","Angola","Sanza Pompo",1,1,15.68749167,-7.37775,1.1042,0.002,94.9,2,-19.9,"SHZone12",55
"icr072247","Angola","Sanza Pompo",1,1,15.68749167,-7.37775,0.9961,0.0018,-12.3,1.8,-16.49,"SHZone12",1072
"icr072286","Angola","Sanza Pompo",3,1,15.687965,-7.331673333,1.0855,0.002,76.4,2,-19.83,"SHZone12",81
"icr072287","Angola","Sanza Pompo",3,1,15.687965,-7.331673333,1.0032,0.0018,-5.2,1.8,-18.11,"SHZone12",768
"icr072365","Angola","Sanza Pompo",7,1,15.71909667,-7.340811667,1.0626,0.0019,53.7,1.9,-13.73,"SHZone12",128
"icr072366","Angola","Sanza Pompo",7,1,15.71909667,-7.340811667,0.9968,0.002,-11.6,2,-12.77,"SHZone12",1037
"icr072425","Angola","Sanza Pompo",10,1,15.73790167,-7.361311667,1.0693,0.0018,60.3,1.8,-18.94,"SHZone12",112
"icr072426","Angola","Sanza Pompo",10,1,15.73790167,-7.361311667,1.022,0.0019,13.3,1.9,-16.23,"SHZone12",368
"icr072596","Angola","Mucope",1,1,14.883505,-16.26941333,0.9781,0.003,-30.1,3,-20.7,"SHZone3",2510
"icr072597","Angola","Mucope",1,1,14.883505,-16.26941333,0.8829,0.0031,-124.5,3.1,-20.3,"SHZone3",6475
"icr072716","Angola","Mucope",7,1,14.89889,-16.225095,0.9484,0.0031,-59.6,3.1,-21.23,"SHZone3",6475
"icr072717","Angola","Mucope",7,1,14.89889,-16.225095,0.8364,0.0049,-170.7,4.9,NA,"SHZone3",6475
"icr072756","Angola","Mucope",9,1,14.930115,-16.26354667,0.9759,0.0032,-32.3,3.2,-23.36,"SHZone3",2762
"icr072757","Angola","Mucope",9,1,14.930115,-16.26354667,0.8441,0.003,-163,2.9,-22.27,"SHZone3",6475
"icr072816","Angola","Mucope",12,1,14.92257333,-16.203565,0.9939,0.0027,-14.5,2.7,-19.09,"SHZone3",1214
"icr072817","Angola","Mucope",12,1,14.92257333,-16.203565,0.8601,0.003,-147.1,2.9,-20.1,"SHZone3",6475
"icr072836","Angola","Mucope",13,1,14.958435,-16.268775,1.0271,0.003,18.5,3,-22.33,"SHZone3",322
"icr072837","Angola","Mucope",13,1,14.958435,-16.268775,0.8921,0.0043,-115.4,4.3,-22.23,"SHZone3",6475
"icr072896","Angola","Mucope",16,1,14.95128667,-16.20006,0.9832,0.0032,-25,3.2,-23,"SHZone3",1995
"icr072896","Angola","Mucope",16,1,14.95128667,-16.20006,0.9832,0.0032,-25,3.2,-23,"SHZone3",1995
"icr072897","Angola","Mucope",16,1,14.95128667,-16.20006,0.8956,0.0031,-112,3.1,-22.75,"SHZone3",6475
"icr072897","Angola","Mucope",16,1,14.95128667,-16.20006,0.8956,0.0031,-112,3.1,-22.75,"SHZone3",6475
"icr072968","Angola","Bimbe",2,1,15.87774167,-11.75044833,1.05,0.0019,41.1,1.9,-20.03,"SHZone12",170
"icr072969","Angola","Bimbe",2,1,15.87774167,-11.75044833,1.0258,0.0019,17.2,1.9,-19.54,"SHZone12",324
"icr073068","Angola","Bimbe",7,1,15.90537,-11.72861167,1.0455,0.0017,36.7,1.7,-18.08,"SHZone12",189
"icr073069","Angola","Bimbe",7,1,15.90537,-11.72861167,1.0388,0.0017,30,1.7,-18.87,"SHZone12",224
"icr073148","Angola","Bimbe",11,1,15.92955167,-11.72815,1.0341,0.0019,25.4,1.9,-17.87,"SHZone12",254
"icr073149","Angola","Bimbe",11,1,15.92955167,-11.72815,0.9682,0.0028,-39.9,2.8,-17.14,"SHZone12",3776
"icr073168","Angola","Bimbe",12,1,15.92522667,-11.70322333,1.0577,0.0019,48.8,1.9,-19.27,"SHZone12",143
"icr073169","Angola","Bimbe",12,1,15.92522667,-11.70322333,0.9879,0.0032,-20.5,3.2,-18.62,"SHZone12",1596
"icr073228","Angola","Bimbe",15,1,15.94343,-11.72477,1.0522,0.0022,43.4,2.2,-15.52,"SHZone12",161
"icr073229","Angola","Bimbe",15,1,15.94343,-11.72477,0.9944,0.0018,-14,1.8,-15.69,"SHZone12",1167
"icr073300","Angola","Luimbale",1,1,15.14388333,-12.35919,1.0001,0.002,-8.3,2,-15.62,"SHZone12",886
"icr073301","Angola","Luimbale",1,1,15.14388333,-12.35919,1.0508,0.002,41.9,2,-15.44,"SHZone12",167
"icr073379","Angola","Luimbale",5,1,15.16175667,-12.3554,1.0399,0.0019,31.1,1.9,-20.78,"SHZone12",217
"icr073380","Angola","Luimbale",5,1,15.16175667,-12.3554,0.9742,0.003,-34,3,-21.24,"SHZone12",2954
"icr073439","Angola","Luimbale",8,1,15.17505,-12.297935,1.034,0.002,25.3,2,-18.5,"SHZone12",254
"icr073440","Angola","Luimbale",8,1,15.17505,-12.297935,0.955,0.003,-53.1,3,-18.67,"SHZone12",6311
"icr073519","Angola","Luimbale",12,1,15.19546833,-12.295335,1.0301,0.0019,21.4,1.9,-16.83,"SHZone12",285
"icr073520","Angola","Luimbale",12,1,15.19546833,-12.295335,0.9397,0.0029,-68.2,2.9,-17.14,"SHZone12",6475
"icr073558","Angola","Luimbale",14,1,15.22182667,-12.32752333,1.0581,0.0019,49.2,1.9,-19.19,"SHZone12",141
"icr073559","Angola","Luimbale",14,1,15.22182667,-12.32752333,0.95,0.0033,-58,3.3,-19.39,"SHZone12",6475
"icr073578","Angola","Luimbale",15,1,15.21382333,-12.31476833,1.023,0.0019,14.4,1.9,-20.54,"SHZone12",355
"icr073579","Angola","Luimbale",15,1,15.21382333,-12.31476833,0.9672,0.0026,-40.9,2.6,-19.47,"SHZone12",3931
"icr074509","Botswana","Paje",12,1,26.4957,-21.7232,1.0342,0.0033,25.5,3.3,-21.2,"SHZone3",263
"icr074510","Botswana","Paje",12,1,26.4957,-21.7232,0.9455,0.0031,-62.5,3.1,-17.76,"SHZone3",6475
"icr074691","Botswana","Gumare",4,1,22.0128,-19.3495,1.0744,0.002,65.3,2,-23.31,"SHZone3",106
"icr074692","Botswana","Gumare",4,1,22.0128,-19.3495,1.0214,0.003,12.8,3,-22.01,"SHZone3",387
"icr074731","Botswana","Gumare",6,1,22.039,-19.3952,0.9685,0.0058,-39.6,5.8,NA,"SHZone3",3746
"icr074732","Botswana","Gumare",6,1,22.039,-19.3952,0.9589,0.0056,-49.2,5.6,NA,"SHZone3",5456
"icr075676","Zambia","Musungwa",1,1,26.093142,-15.897394,0.972,0.0031,-36.2,3.1,-17.46,"SHZone3",3259
"icr075677","Zambia","Musungwa",1,1,26.093142,-15.897394,0.9238,0.0056,-84,5.6,NA,"SHZone3",6475
"icr075696","Zambia","Musungwa",2,1,26.098539,-15.867407,1.0352,0.0032,26.5,3.2,-14.76,"SHZone3",255
"icr075697","Zambia","Musungwa",2,1,26.098539,-15.867407,0.8925,0.0055,-115,5.5,NA,"SHZone3",6475
"icr075697","Zambia","Musungwa",2,1,26.098539,-15.867407,0.8925,0.0055,-115,5.5,NA,"SHZone3",6475
"icr075756","Zambia","Musungwa",5,1,26.115347,-15.896971,0.9523,0.0033,-55.7,3.3,-14.88,"SHZone3",6475
"icr075757","Zambia","Musungwa",5,1,26.115347,-15.896971,0.9138,0.0054,-93.9,5.4,NA,"SHZone3",6475
"icr075916","Zambia","Musungwa",13,1,26.166365,-15.89698167,0.9855,0.0018,-22.8,1.8,-17.85,"SHZone3",1802
"icr075917","Zambia","Musungwa",13,1,26.166365,-15.89698167,0.9043,0.0016,-103.3,1.6,-18.61,"SHZone3",6475
"icr076353","Madagascar","Analavory",1,5,46.640183,-19.025532,0.8302,0.0027,-176.8,2.7,-20,"SHZone3",6475
"icr076354","Madagascar","Analavory",1,5,46.640183,-19.025532,0.7588,0.0027,-247.6,2.7,-18.37,"SHZone3",6475
"icr076357","Madagascar","Analavory",1,8,46.640384,-19.023296,1.0322,0.0019,23.4,1.9,-16.73,"SHZone3",279
"icr076358","Madagascar","Analavory",1,8,46.640384,-19.023296,0.8837,0.0026,-123.7,2.6,-16.34,"SHZone3",6475
"icr076362","Madagascar","Analavory",1,11,46.634228,-19.02658,0.9785,0.0033,-29.8,3.3,-14.04,"SHZone3",2477
"icr076363","Madagascar","Analavory",1,11,46.634228,-19.02658,0.9294,0.0054,-78.4,5.4,NA,"SHZone3",6475
"icr076374","Madagascar","Analavory",2,6,46.629493,-19.003005,0.9766,0.0019,-31.7,1.9,-13.47,"SHZone3",2692
"icr076375","Madagascar","Analavory",2,6,46.629493,-19.003005,0.8739,0.0027,-133.5,2.7,-14.25,"SHZone3",6475
"icr076386","Madagascar","Analavory",3,2,46.634883,-18.980252,1.038,0.002,29.3,2,-14.97,"SHZone3",237
"icr076387","Madagascar","Analavory",3,2,46.634883,-18.980252,0.9797,0.0017,-28.5,1.7,-15.1,"SHZone3",2338
"icr076406","Madagascar","Analavory",4,2,46.639697,-18.95421,0.8466,0.0017,-160.5,1.7,-14.67,"SHZone3",6475
"icr076407","Madagascar","Analavory",4,2,46.639697,-18.95421,0.7162,0.0026,-289.8,2.6,-17.45,"SHZone3",6475
"icr076418","Madagascar","Analavory",4,8,46.63595,-18.962023,1.0358,0.0019,27,1.9,-12.53,"SHZone3",252
"icr076419","Madagascar","Analavory",4,8,46.63595,-18.962023,0.9573,0.0028,-50.8,2.8,-12.56,"SHZone3",5799
"icr076422","Madagascar","Analavory",4,10,46.632403,-18.957634,1.0226,0.0019,14,1.9,-13.44,"SHZone3",372
"icr076423","Madagascar","Analavory",4,10,46.632403,-18.957634,0.8335,0.0026,-173.5,2.6,-15.79,"SHZone3",6475
"icr076446","Madagascar","Analavory",6,2,46.65776,-19.001199,0.7866,0.0016,-220.1,1.6,-15.64,"SHZone3",6475
"icr076447","Madagascar","Analavory",6,2,46.65776,-19.001199,0.7358,0.0014,-270.4,1.4,-15.04,"SHZone3",6475
"icr076460","Madagascar","Analavory",6,9,46.660293,-18.999384,0.8217,0.0017,-185.2,1.7,-14.82,"SHZone3",6475
"icr076461","Madagascar","Analavory",6,9,46.660293,-18.999384,0.6726,0.0015,-333.1,1.5,-15.16,"SHZone3",6475
"icr076480","Madagascar","Analavory",7,9,46.660746,-18.97778,0.7973,0.0015,-209.4,1.5,-12.86,"SHZone3",6475
"icr076481","Madagascar","Analavory",7,9,46.660746,-18.97778,0.9717,0.0017,-36.5,1.7,-14.91,"SHZone3",3299
"icr076494","Madagascar","Analavory",8,6,46.652397,-18.958693,0.8892,0.0018,-118.3,1.8,-17.84,"SHZone3",6475
"icr076495","Madagascar","Analavory",8,6,46.652397,-18.958693,0.7448,0.0022,-261.5,2.2,-18.89,"SHZone3",6475
"icr076508","Madagascar","Analavory",9,4,46.676483,-19.020066,0.8728,0.0024,-134.5,2.4,-14.59,"SHZone3",6475
"icr076509","Madagascar","Analavory",9,4,46.676483,-19.020066,0.9118,0.0016,-95.8,1.6,-14.02,"SHZone3",6475
"icr076518","Madagascar","Analavory",9,9,46.679666,-19.017739,0.9833,0.0019,-25,1.9,-17.79,"SHZone3",1995
"icr076518","Madagascar","Analavory",9,9,46.679666,-19.017739,0.9833,0.0019,-25,1.9,-17.79,"SHZone3",1995
"icr076519","Madagascar","Analavory",9,9,46.679666,-19.017739,0.9326,0.0016,-75.2,1.6,-18.17,"SHZone3",6475
"icr076527","Madagascar","Analavory",10,5,46.678734,-19.006775,0.9321,0.0016,-75.7,1.6,-12.85,"SHZone3",6475
"icr076528","Madagascar","Analavory",10,5,46.678734,-19.006775,0.8576,0.0016,-149.6,1.6,-13.43,"SHZone3",6475
"icr076569","Madagascar","Analavory",12,6,46.684407,-18.955873,0.9917,0.0018,-16.7,1.8,-23.4175,"SHZone3",1349
"icr076569","Madagascar","Analavory",12,6,46.684407,-18.955873,0.9917,0.0018,-16.7,1.8,-23.4175,"SHZone3",1349
"icr076570","Madagascar","Analavory",12,6,46.684407,-18.955873,0.8296,0.0022,-177.3,2.2,-20.8385,"SHZone3",6475
"icr076599","Madagascar","Analavory",13,14,46.708536,-19.018618,0.9934,0.0017,-15,1.7,-14.39,"SHZone3",1244
"icr076600","Madagascar","Analavory",13,14,46.708536,-19.018618,0.8978,0.0016,-109.8,1.6,-13.42,"SHZone3",6475
"icr076607","Madagascar","Analavory",14,4,46.700807,-19.011172,0.9231,0.0016,-84.7,1.6,-12.47,"SHZone3",6475
"icr076608","Madagascar","Analavory",14,4,46.700807,-19.011172,0.8672,0.0016,-140.1,1.6,-12.58,"SHZone3",6475
"icr076611","Madagascar","Analavory",14,6,46.704284,-19.004856,0.9975,0.0017,-11,1.7,-13.81,"SHZone3",1027
"icr076612","Madagascar","Analavory",14,6,46.704284,-19.004856,0.9654,0.002,-42.8,2,-12.93,"SHZone3",4257
"icr076632","Madagascar","Analavory",15,7,46.70011,-18.981098,1.0072,0.002,-1.3,2,-11.77,"SHZone3",662
"icr076633","Madagascar","Analavory",15,7,46.70011,-18.981098,0.9462,0.0017,-61.8,1.7,-11.44,"SHZone3",6475
"icr076638","Madagascar","Analavory",15,10,46.702414,-18.982985,0.9666,0.0022,-41.5,2.2,-13.32,"SHZone3",4043
"icr076639","Madagascar","Analavory",15,10,46.702414,-18.982985,0.7945,0.0015,-212.2,1.5,-12.34,"SHZone3",6475
"icr076646","Madagascar","Analavory",16,4,46.708034,-18.956841,0.9358,0.0018,-72.1,1.8,-14.47,"SHZone3",6475
"icr076647","Madagascar","Analavory",16,4,46.708034,-18.956841,0.8651,0.0025,-142.2,2.5,-15.84,"SHZone3",6475
